region,price,year,manufacturer,model,condition,cylinders,fuel,transmission,drive,type,odometer_bins
others,25997,2004,toyota,"tacoma v6 4dr double cab 1-oregon owner* rust & accident free*timing belt service done*new full buid*bilstein lift*new 33""yokohama goo3*new 17""mk6 wheels*like new in & out",good,6,gas,automatic,4wd,pickup,150k-200k
detroit metro,21518,2003,toyota,camry,excellent,4,gas,automatic,fwd,sedan,100k-150k
others,46995,2015,ram,3500,good,5,diesel,automatic,4wd,pickup,150k-200k
others,33990,2019,ram,promaster 2500 high top,excellent,6,gas,automatic,fwd,sedan,20k-50k
grand rapids,9950,2012,others,g37x awd luxury car,good,5,gas,automatic,4wd,sedan,150k-200k
others,10000,1991,ford,f350,good,8,gas,manual,4wd,truck,150k-200k
cleveland,19581,2006,honda,pilot ex 4wd,good,6,gas,automatic,4wd,SUV,0-20k
others,19581,2006,lexus,es 330,excellent,6,gas,automatic,fwd,sedan,100k-150k
others,20999,2018,chevrolet,malibu,good,4,gas,automatic,fwd,sedan,20k-50k
orange county,21518,2008,others,tribute hybrid touring,excellent,4,hybrid,automatic,fwd,sedan,100k-150k
others,19581,2020,hyundai,kona,good,5,gas,other,4wd,sedan,0-20k
columbus,8950,2016,nissan,altima,good,5,gas,automatic,fwd,sedan,50k-100k
baltimore,21518,2000,others,grand prix gtp,excellent,6,gas,automatic,fwd,coupe,150k-200k
others,29500,2017,ram,1500 ecodiesel,excellent,6,diesel,automatic,4wd,pickup,20k-50k
others,21518,2020,gmc,sierra 1500,good,5,gas,automatic,4wd,pickup,0-20k
others,32999,2012,chevrolet,2500,good,5,diesel,automatic,4wd,sedan,150k-200k
raleigh / durham / CH,16590,2015,volkswagen,beetle 1.8t fleet,good,5,gas,other,fwd,hatchback,20k-50k
others,13995,2006,chevrolet,silverado 2500hd,good,8,gas,automatic,4wd,truck,100k-150k
north jersey,10795,2015,hyundai,sonata,good,4,gas,automatic,fwd,sedan,50k-100k
others,24399,2016,others,mx-5 miata,good,5,gas,automatic,rwd,convertible,0-20k
others,23590,2011,chevrolet,camaro ss coupe 2d,good,8,gas,other,rwd,coupe,20k-50k
others,21518,1999,honda,cr-v,good,5,gas,automatic,4wd,SUV,150k-200k
"washington, DC",21518,2008,honda,odyssey,good,6,gas,automatic,fwd,van,150k-200k
others,16995,2016,kia,sportage,excellent,4,gas,automatic,fwd,SUV,50k-100k
cincinnati,21990,2019,nissan,frontier king cab s,good,5,gas,other,fwd,pickup,0-20k
others,21518,2010,others,g6,good,5,gas,automatic,4wd,sedan,150k-200k
portland,21518,2008,chevrolet,malibu ls,excellent,5,gas,automatic,4wd,sedan,200k-300k
others,16500,2017,ford,fusion se,excellent,4,gas,automatic,fwd,sedan,20k-50k
others,9988,2010,ford,escape,good,5,gas,automatic,4wd,SUV,100k-150k
phoenix,13900,2012,audi,q5,like new,6,gas,automatic,4wd,SUV,50k-100k
seattle-tacoma,12991,2012,audi,q5 2.0t quattro premium pl,good,5,gas,automatic,4wd,SUV,100k-150k
others,21518,2016,dodge,challenger srt hellcat,like new,5,gas,manual,4wd,sedan,0-20k
others,19581,2014,mercedes-benz,m-class,good,8,gas,automatic,4wd,SUV,100k-150k
"kansas city, MO",28925,2016,bmw,2 series,good,5,gas,automatic,rwd,convertible,20k-50k
ft myers / SW florida,19581,2012,ram,250,good,5,gas,automatic,4wd,other,50k-100k
pittsburgh,8995,2005,chevrolet,silverado,good,5,gas,automatic,4wd,sedan,100k-150k
others,7999,2008,lexus,es 350,good,5,gas,automatic,4wd,sedan,150k-200k
others,19581,2002,dodge,grand caravan,fair,6,gas,automatic,fwd,mini-van,150k-200k
others,10988,2012,nissan,murano sv,excellent,6,gas,automatic,4wd,sedan,100k-150k
others,23590,2017,nissan,frontier king cab sv,good,5,other,other,fwd,pickup,20k-50k
others,19581,2004,mercedes-benz,benz c320,good,4,gas,automatic,rwd,sedan,150k-200k
tampa bay area,21518,1991,cadillac,deville,excellent,8,gas,automatic,fwd,sedan,50k-100k
others,39900,2013,ford,Isuzu NQR,excellent,4,diesel,automatic,rwd,truck,100k-150k
others,19581,1988,gmc,vandura,good,6,gas,automatic,rwd,sedan,200k-300k
sacramento,21518,2011,chevrolet,equinox lt,good,4,gas,automatic,4wd,sedan,150k-200k
others,21518,2007,audi,a4,good,4,gas,automatic,4wd,sedan,100k-150k
columbus,7990,1994,gmc,sonoma,good,6,gas,automatic,rwd,sedan,100k-150k
others,19581,2008,chevrolet,malibu,good,6,gas,automatic,fwd,sedan,150k-200k
others,19581,2013,honda,cr-v ex-l awd,excellent,4,gas,automatic,4wd,SUV,50k-100k
others,21518,2002,gmc,yukon xl,excellent,8,gas,automatic,rwd,SUV,200k-300k
others,9900,2010,chevrolet,silverado 1500,good,8,gas,automatic,4wd,pickup,100k-150k
others,24999,2019,toyota,camry,good,0,gas,automatic,fwd,sedan,0-20k
others,19581,2003,ford,2003,good,5,gas,automatic,4wd,sedan,200k-300k
others,19581,1998,others,vandenplas,excellent,8,gas,automatic,rwd,sedan,200k-300k
others,8984,2010,ford,fusion,good,6,gas,automatic,4wd,sedan,100k-150k
others,21518,2012,chevrolet,traverse lt awd,good,6,gas,automatic,4wd,sedan,0-20k
columbus,26995,2010,ram,2500,good,5,gas,automatic,4wd,other,100k-150k
phoenix,19900,2011,acura,mdx sh-awd w/advance,excellent,6,gas,automatic,4wd,SUV,50k-100k
others,21990,2017,gmc,acadia sle-1 sport utility,good,5,gas,other,fwd,SUV,20k-50k
others,19581,2020,toyota,sienna,good,5,gas,automatic,fwd,van,20k-50k
reno / tahoe,39590,2018,audi,sq5 premium plus sport,good,6,gas,other,4wd,other,20k-50k
cleveland,21518,2004,chevrolet,express 3500,excellent,8,gas,automatic,rwd,van,100k-150k
others,12999,2013,toyota,rav4 le awd gas suv auto,good,5,gas,automatic,4wd,SUV,150k-200k
austin,14990,2017,others,500 pop hatchback 2d,good,5,gas,automatic,fwd,hatchback,0-20k
others,39590,2020,others,qx60 luxe sport utility,good,5,other,other,4wd,SUV,0-20k
rochester,13995,2014,ford,econoline cargo van,good,5,gas,automatic,4wd,mini-van,100k-150k
"st louis, MO",19581,2015,dodge,i,good,5,diesel,other,4wd,other,0-20k
others,19581,2003,chevrolet,trailblazer ext,fair,6,gas,automatic,4wd,SUV,200k-300k
others,35950,2003,jeep,wrangler rubicon,excellent,6,gas,automatic,4wd,SUV,20k-50k
orange county,8975,2006,ford,ranger,good,5,gas,automatic,4wd,other,50k-100k
others,17988,2012,chevrolet,silverado 1500 4x4 v8,excellent,8,gas,automatic,4wd,pickup,50k-100k
others,30990,2016,lexus,gs 350 sedan 4d,good,5,other,other,4wd,sedan,20k-50k
others,8950,2012,subaru,legacy,excellent,4,gas,automatic,4wd,sedan,50k-100k
others,8995,2010,hyundai,santa fe gls,good,4,gas,automatic,fwd,SUV,50k-100k
others,21518,2013,kia,soul base,good,4,gas,automatic,4wd,hatchback,100k-150k
ft myers / SW florida,18700,2012,ford,f-150 xlt,excellent,8,gas,automatic,rwd,pickup,100k-150k
others,31990,2006,ford,f250 super duty xlt,good,8,diesel,automatic,4wd,truck,200k-300k
others,10000,1968,jeep,f-150,good,6,gas,manual,4wd,offroad,100k-150k
north jersey,10990,2012,ford,expedition,good,5,gas,automatic,4wd,SUV,100k-150k
others,38590,2011,chevrolet,corvette grand sport,good,8,gas,other,rwd,other,20k-50k
others,32995,2014,ford,f-150,excellent,8,gas,automatic,4wd,truck,100k-150k
chicago,19581,2002,toyota,sienna,good,5,gas,automatic,4wd,sedan,0-20k
detroit metro,19581,2016,mercedes-benz,amg s 63,good,8,gas,automatic,4wd,coupe,20k-50k
others,19581,2016,jeep,renegade,good,5,gas,manual,4wd,SUV,50k-100k
others,8500,1990,others,mx-5 miata,excellent,4,gas,automatic,rwd,convertible,50k-100k
others,21518,2019,chevrolet,silverado 1500,excellent,8,gas,automatic,4wd,truck,20k-50k
charlotte,21518,2010,chevrolet,hhr,good,4,gas,automatic,rwd,van,150k-200k
others,27995,2011,ford,Envision,good,4,gas,automatic,4wd,SUV,0-20k
others,20000,2015,cadillac,srx premium,excellent,6,gas,automatic,4wd,SUV,50k-100k
others,21449,2017,chevrolet,city express,like new,4,gas,automatic,fwd,van,0-20k
minneapolis / st paul,21518,2009,bmw,328i,good,6,gas,automatic,rwd,sedan,200k-300k
others,17000,1997,ford,f-350,good,8,diesel,automatic,4wd,pickup,200k-300k
orange county,21518,2002,toyota,camry,excellent,4,gas,automatic,fwd,sedan,100k-150k
others,7200,2001,bmw,325i,like new,6,gas,automatic,rwd,wagon,100k-150k
others,12495,2004,lexus,gx 470,good,5,gas,automatic,4wd,SUV,100k-150k
charlotte,8250,2008,others,xc70,excellent,6,gas,automatic,4wd,wagon,100k-150k
others,7495,1999,ford,econoline e150,excellent,8,gas,automatic,rwd,sedan,150k-200k
des moines,10995,2015,ford,escape,excellent,4,gas,automatic,4wd,SUV,50k-100k
phoenix,18990,2012,mercedes-benz,gl-class gl 450,good,8,gas,automatic,4wd,other,100k-150k
others,36988,2020,ford,explorer,good,4,gas,automatic,4wd,SUV,0-20k
grand rapids,18995,2017,chevrolet,trax,good,5,gas,automatic,4wd,sedan,20k-50k
others,20000,1994,others,f-150,good,8,gas,automatic,4wd,SUV,150k-200k
orlando,7900,2006,nissan,350z,excellent,6,gas,automatic,rwd,coupe,100k-150k
others,22590,2016,others,s60 t5 cross country,good,5,gas,other,4wd,sedan,20k-50k
others,36590,2019,others,q60 3.0t luxe coupe 2d,good,5,other,other,4wd,coupe,0-20k
others,45590,2014,chevrolet,corvette stingray,good,5,other,other,rwd,coupe,0-20k
austin,14997,2013,toyota,rav4 xle,excellent,4,gas,automatic,fwd,SUV,50k-100k
orlando,36990,2016,gmc,sierra 2500 hd double cab,good,8,gas,other,4wd,pickup,20k-50k
others,28988,2016,gmc,sierra sle 4x4,good,5,gas,automatic,4wd,other,50k-100k
others,17990,2018,kia,soul ! wagon 4d,good,5,gas,other,fwd,wagon,20k-50k
others,18990,2017,chevrolet,bolt ev,good,5,electric,other,fwd,other,20k-50k
central NJ,19581,2009,ford,edge sport,good,6,gas,automatic,4wd,SUV,50k-100k
others,26500,2016,others,s60,like new,4,gas,automatic,fwd,sedan,0-20k
others,26990,2017,nissan,titan single cab sv,good,8,gas,other,4wd,pickup,20k-50k
others,7450,2009,toyota,camry,good,5,gas,automatic,4wd,sedan,150k-200k
others,18999,2014,lexus,rx350 awd gas suv auto,good,5,gas,automatic,4wd,SUV,100k-150k
south florida,11495,2010,toyota,venza,excellent,4,gas,automatic,fwd,wagon,50k-100k
austin,26995,2014,jeep,wrangler 2dr sport,excellent,6,gas,automatic,4wd,SUV,50k-100k
others,19581,2002,honda,accord,good,6,gas,automatic,4wd,sedan,500k+
others,21518,2008,toyota,rav4,good,5,gas,automatic,4wd,sedan,200k-300k
others,15000,2013,chevrolet,express g1500,excellent,8,gas,automatic,rwd,van,50k-100k
others,19990,2019,others,outlander es sport,good,5,gas,other,4wd,SUV,20k-50k
others,25999,2017,ford,flex,good,6,gas,automatic,4wd,SUV,20k-50k
others,21518,2002,mercedes-benz,benz cl500,excellent,8,gas,automatic,rwd,coupe,100k-150k
others,19581,2019,acura,rdx fwd,good,4,gas,automatic,fwd,SUV,0-20k
los angeles,27590,2017,hyundai,santa fe limited,good,6,gas,other,fwd,other,20k-50k
others,11495,2017,nissan,sentra,good,5,gas,automatic,fwd,sedan,20k-50k
others,21518,2016,ford,fiesta,good,5,gas,automatic,4wd,sedan,20k-50k
los angeles,14500,1991,honda,civic si,good,5,gas,manual,4wd,sedan,150k-200k
others,21518,2006,ford,escape,good,6,gas,automatic,4wd,SUV,100k-150k
others,37990,2016,toyota,tundra double cab sr,good,8,gas,other,4wd,pickup,20k-50k
others,25000,2020,kia,sorento,good,6,gas,automatic,fwd,SUV,0-20k
others,20000,2014,ford,f-150 xlt off-,excellent,8,gas,automatic,4wd,truck,100k-150k
others,19581,2010,honda,odyssey,good,5,gas,automatic,fwd,sedan,150k-200k
others,14900,2019,chevrolet,equinox,excellent,4,gas,automatic,fwd,SUV,0-20k
others,34990,2018,dodge,charger daytona sedan 4d,good,8,other,other,rwd,sedan,20k-50k
pittsburgh,22590,2017,volkswagen,golf alltrack tsi se,good,5,other,automatic,4wd,wagon,0-20k
others,21518,1999,ford,bluebird bus,good,6,diesel,automatic,rwd,bus,100k-150k
others,19581,2006,jeep,liberty,good,6,gas,automatic,4wd,SUV,150k-200k
pittsburgh,21518,2008,ford,focus,good,4,gas,automatic,fwd,sedan,100k-150k
"st louis, MO",12000,2016,others,encore base,good,5,gas,automatic,4wd,sedan,100k-150k
others,19581,2015,chevrolet,equinox,good,6,gas,automatic,4wd,SUV,100k-150k
others,14700,2015,honda,cr-v ex-l,excellent,4,gas,automatic,4wd,SUV,50k-100k
others,20999,2017,hyundai,tucson se awd gas suv,good,5,gas,automatic,4wd,SUV,20k-50k
others,19581,2013,ram,1500 tradesman,excellent,8,gas,automatic,4wd,sedan,50k-100k
others,21518,2012,ford,fusion,excellent,4,gas,automatic,fwd,sedan,150k-200k
others,37999,2016,chevrolet,2500,good,5,diesel,automatic,4wd,sedan,150k-200k
orlando,21518,2008,nissan,altima,excellent,5,gas,manual,fwd,sedan,150k-200k
south florida,19581,2007,ford,focus se,like new,5,gas,automatic,4wd,sedan,100k-150k
spokane / coeur d'alene,13995,2017,kia,forte lx,good,4,gas,manual,fwd,sedan,50k-100k
others,21518,2000,honda,accord,good,5,gas,automatic,fwd,sedan,100k-150k
others,16990,2018,toyota,corolla im hatchback 4d,good,5,gas,other,fwd,hatchback,20k-50k
others,34990,2016,gmc,canyon crew cab sle pickup,good,6,gas,other,4wd,pickup,20k-50k
minneapolis / st paul,19581,2010,chevrolet,camaro,good,8,gas,automatic,rwd,coupe,0-20k
others,20995,2017,bmw,x3,good,4,gas,automatic,4wd,other,50k-100k
south florida,11980,2013,volkswagen,gti,excellent,4,gas,automatic,fwd,coupe,50k-100k
SF bay area,21518,2006,subaru,impreza,good,5,gas,manual,4wd,sedan,200k-300k
others,37200,2020,subaru,ascent,good,5,gas,automatic,4wd,SUV,0-20k
baltimore,19581,2016,nissan,rogue,good,5,gas,automatic,4wd,SUV,20k-50k
others,35990,2020,toyota,4runner sr5 sport utility,good,6,gas,other,4wd,SUV,20k-50k
phoenix,19581,2019,ford,f-250 super duty,excellent,8,diesel,automatic,4wd,truck,20k-50k
others,21518,2008,ford,Saab 9-7x,excellent,6,gas,automatic,4wd,SUV,100k-150k
others,21518,2019,ram,1500 laramie 4x4 gas,good,5,gas,automatic,4wd,truck,20k-50k
others,12499,2014,nissan,maxima sv w/sport pkg,good,5,gas,automatic,4wd,sedan,50k-100k
others,21000,2012,subaru,impreza wagon wrx,good,4,gas,manual,4wd,wagon,50k-100k
milwaukee,21518,2010,ford,escape,excellent,4,gas,automatic,4wd,SUV,100k-150k
central NJ,19695,2015,others,discovery sport,good,5,gas,automatic,4wd,SUV,50k-100k
others,19581,2021,volkswagen,jetta gli,good,4,gas,manual,fwd,sedan,0-20k
others,29995,2013,ford,f-150,good,5,gas,automatic,4wd,pickup,100k-150k
others,19581,2011,ford,fiesta,good,5,gas,manual,4wd,sedan,150k-200k
oklahoma city,19581,2013,dodge,durango,excellent,6,gas,automatic,4wd,SUV,100k-150k
others,25995,2018,ford,explorer,good,6,gas,automatic,fwd,SUV,20k-50k
tucson,9995,2012,chevrolet,captiva ltz,good,4,gas,automatic,fwd,SUV,100k-150k
inland empire,19581,2001,chevrolet,f-150,good,5,gas,automatic,4wd,sedan,150k-200k
others,34995,2012,ford,f-350sd,good,5,diesel,automatic,4wd,sedan,50k-100k
detroit metro,15995,2017,nissan,rogue,excellent,5,gas,automatic,fwd,wagon,50k-100k
others,25000,2014,ford,f-250,excellent,8,diesel,automatic,4wd,pickup,150k-200k
others,19581,2012,mercedes-benz,slk350,like new,6,gas,automatic,rwd,coupe,20k-50k
los angeles,32995,2018,bmw,3 series,good,4,gas,automatic,4wd,sedan,0-20k
others,22990,2012,toyota,tacoma access cab pickup,good,5,gas,other,4wd,pickup,20k-50k
others,25498,2014,chevrolet,silverado lt crew cab,good,6,gas,automatic,4wd,sedan,50k-100k
others,21518,2005,subaru,impreza,good,4,gas,manual,4wd,sedan,100k-150k
others,9995,2006,ford,hummer h3,good,5,gas,automatic,4wd,sedan,100k-150k
denver,27990,2012,gmc,sierra 2500 hd extended cab,good,8,gas,other,4wd,pickup,50k-100k
others,13995,2012,gmc,acadia,excellent,6,gas,automatic,4wd,sedan,100k-150k
others,21518,2003,mercedes-benz,benz e500,good,8,gas,automatic,rwd,sedan,100k-150k
boston,9999,2016,ford,focus,good,5,gas,automatic,4wd,hatchback,50k-100k
others,25950,2016,gmc,savana cutaway,good,8,gas,automatic,rwd,van,100k-150k
"kansas city, MO",15998,2015,chevrolet,cruze,good,5,gas,automatic,fwd,sedan,50k-100k
others,36590,2020,acura,tlx 3.5 w/technology pkg,good,5,other,other,fwd,sedan,0-20k
san diego,29990,2017,bmw,4 series 430i xdrive coupe,good,5,gas,other,4wd,coupe,20k-50k
others,21518,2002,gmc,sierra 1500 sle,good,8,gas,automatic,4wd,truck,150k-200k
others,20860,2014,ram,2500 4x4 5.7l hemi 1-owner new wheels&tires,good,8,gas,automatic,4wd,pickup,100k-150k
others,19581,2021,chrysler,pacifica hybrid,excellent,6,gas,other,4wd,van,0-20k
others,10995,2016,toyota,yaris,excellent,5,gas,automatic,fwd,hatchback,50k-100k
others,21518,2015,volkswagen,jetta,good,5,gas,automatic,4wd,sedan,100k-150k
chicago,31995,2017,chrysler,300,good,5,gas,automatic,rwd,sedan,20k-50k
others,30990,2017,nissan,frontier crew cab pro-4x,good,6,gas,other,4wd,pickup,20k-50k
others,17990,2010,lexus,is 250 sport convertible,good,6,gas,other,rwd,convertible,50k-100k
others,19581,1931,ford,1931 Model A,good,5,gas,manual,4wd,sedan,0-20k
colorado springs,21518,2001,others,lesabre,good,5,gas,automatic,4wd,sedan,50k-100k
others,23331,2018,others,cooper countryman,good,3,gas,automatic,fwd,sedan,0-20k
others,21518,2014,volkswagen,jetta,good,5,gas,automatic,4wd,sedan,100k-150k
jacksonville,37990,2020,volkswagen,atlas cross sport se,good,5,other,other,4wd,SUV,0-20k
others,22000,2013,ford,f-150 lariat,excellent,6,gas,automatic,4wd,truck,50k-100k
others,28900,2015,gmc,sierra slt,excellent,5,gas,automatic,4wd,truck,100k-150k
detroit metro,21518,2011,chevrolet,equinox,good,5,gas,automatic,4wd,sedan,200k-300k
others,15590,2016,ford,Scion iM Hatchback 4D,good,5,other,other,4wd,hatchback,20k-50k
others,13980,2013,volkswagen,beetle coupe,good,4,gas,automatic,fwd,coupe,50k-100k
others,29999,2015,gmc,2500,good,5,diesel,automatic,4wd,sedan,200k-300k
others,13000,2001,mercedes-benz,benz sl500,excellent,8,gas,automatic,rwd,convertible,100k-150k
cleveland,19581,2015,toyota,rav4,like new,4,gas,automatic,4wd,sedan,0-20k
south florida,11700,2008,chevrolet,express,good,5,gas,automatic,fwd,van,50k-100k
others,46590,2018,bmw,4 series 440i convertible 2d,good,5,gas,other,rwd,convertible,0-20k
others,8400,2012,ford,freightliner cascadia,good,5,diesel,manual,4wd,sedan,500k+
others,8888,1983,chevrolet,blazer k5,good,8,gas,automatic,4wd,SUV,50k-100k
stockton,12590,2016,chevrolet,spark ev 1lt hatchback,good,5,electric,other,fwd,hatchback,20k-50k
others,29900,2017,toyota,4runner,excellent,6,gas,automatic,4wd,SUV,50k-100k
boston,8495,2013,toyota,prius c,good,4,hybrid,other,fwd,hatchback,150k-200k
columbus,11817,2012,bmw,x3,excellent,6,gas,manual,4wd,SUV,100k-150k
others,13000,2018,subaru,impreza,good,5,gas,automatic,4wd,sedan,20k-50k
others,22990,2016,ford,econoline commercial cutaway,good,8,gas,automatic,rwd,truck,150k-200k
minneapolis / st paul,21518,2000,chevrolet,tahoe,good,8,gas,automatic,4wd,SUV,100k-150k
others,11995,2013,honda,odyssey,excellent,6,gas,automatic,fwd,van,100k-150k
raleigh / durham / CH,7200,2016,nissan,versa s,excellent,4,gas,manual,4wd,sedan,50k-100k
others,8995,2014,chrysler,300,good,5,gas,automatic,4wd,sedan,150k-200k
others,34000,2008,bmw,f-150,good,5,gas,automatic,4wd,sedan,20k-50k
others,19581,2013,cadillac,xts,excellent,6,gas,automatic,fwd,sedan,50k-100k
others,31000,1932,ford,roadster,good,5,gas,automatic,4wd,sedan,0-20k
others,19900,2013,chevrolet,silverado 1500,excellent,5,gas,other,4wd,truck,150k-200k
central NJ,7900,2007,chrysler,300-series,good,6,gas,automatic,rwd,sedan,20k-50k
others,14000,2017,ford,focus,like new,4,gas,automatic,fwd,sedan,0-20k
los angeles,22990,2016,cadillac,srx performance,good,5,other,other,fwd,other,50k-100k
others,39999,2012,ram,3500,good,6,diesel,automatic,4wd,truck,150k-200k
others,22999,2014,bmw,528i xdrive awd,excellent,4,gas,automatic,4wd,sedan,50k-100k
others,21518,2007,chevrolet,malibu,excellent,4,gas,automatic,4wd,sedan,150k-200k
los angeles,21518,2004,gmc,yukon denali,excellent,8,gas,automatic,4wd,SUV,50k-100k
others,29990,2019,ford,f150 regular cab xl pickup,good,6,other,other,4wd,pickup,0-20k
others,25000,2000,ram,3500,good,5,diesel,manual,4wd,sedan,100k-150k
others,19581,2008,ford,focus,good,6,gas,automatic,4wd,sedan,200k-300k
columbus,7400,2009,others,enclave,excellent,6,gas,automatic,4wd,SUV,150k-200k
others,16500,2018,chrysler,300,excellent,6,gas,automatic,4wd,sedan,20k-50k
central NJ,21990,2005,ford,econoline commercial cutaway,good,8,gas,automatic,rwd,truck,20k-50k
others,12900,1968,others,f-150,good,5,gas,manual,4wd,sedan,50k-100k
long island,21518,2005,toyota,camry le,excellent,4,gas,automatic,4wd,sedan,50k-100k
others,39990,2019,nissan,370z nismo coupe 2d,good,6,gas,other,rwd,coupe,0-20k
others,28998,2016,toyota,tacoma,good,6,gas,automatic,4wd,truck,50k-100k
others,19581,2007,nissan,versa,fair,5,gas,automatic,4wd,sedan,150k-200k
others,7988,2011,honda,civic,excellent,4,gas,automatic,fwd,sedan,100k-150k
orlando,21518,2008,kia,spectra ex,good,4,gas,automatic,fwd,sedan,100k-150k
cincinnati,21500,1986,chevrolet,c10,good,5,gas,automatic,4wd,sedan,100k-150k
spokane / coeur d'alene,21518,2008,ford,edge,good,6,gas,automatic,4wd,SUV,150k-200k
oklahoma city,29990,2018,toyota,highlander le sport,good,6,gas,other,4wd,other,20k-50k
phoenix,9499,2014,bmw,x3,excellent,4,gas,automatic,4wd,SUV,200k-300k
others,21518,2008,honda,cr-v,good,5,gas,automatic,4wd,SUV,200k-300k
others,30990,2020,gmc,acadia slt sport utility 4d,good,6,gas,other,4wd,SUV,20k-50k
others,21518,2013,others,500,good,4,gas,automatic,fwd,other,100k-150k
tampa bay area,21518,2019,chevrolet,1500 rst z71,good,8,gas,automatic,4wd,sedan,20k-50k
pittsburgh,24885,2014,jeep,grand cherokee,good,6,gas,automatic,4wd,SUV,50k-100k
others,9295,2006,ford,mustang,excellent,6,gas,manual,4wd,coupe,50k-100k
others,14499,2009,nissan,frontier,good,6,gas,automatic,4wd,truck,100k-150k
others,35990,2018,others,e-pace p250 se sport,good,5,gas,other,4wd,SUV,0-20k
others,21518,2012,nissan,versa sv sedan 4d,good,4,gas,automatic,fwd,sedan,50k-100k
others,19600,2012,chevrolet,silverado 1500,excellent,8,gas,automatic,4wd,truck,50k-100k
others,34990,2018,jeep,wrangler unlimited all new,good,5,other,other,4wd,other,0-20k
others,25950,2016,gmc,savana cutaway,good,8,gas,automatic,rwd,van,100k-150k
charlotte,21518,1995,lexus,es 300,excellent,6,gas,automatic,fwd,sedan,100k-150k
sacramento,19581,2018,toyota,highlander xle,good,6,gas,automatic,fwd,SUV,20k-50k
others,11900,2012,honda,odyssey,excellent,5,gas,automatic,fwd,mini-van,100k-150k
milwaukee,21590,2017,others,regal premium ii sedan 4d,good,5,gas,other,fwd,sedan,0-20k
"kansas city, MO",10499,2012,gmc,terrain sle-1 awd,like new,4,gas,automatic,4wd,SUV,100k-150k
others,19581,2003,chevrolet,silverado,good,6,gas,automatic,4wd,pickup,150k-200k
others,20590,2016,honda,cr-v ex sport utility 4d,good,5,gas,other,4wd,other,20k-50k
others,10995,2015,gmc,canyon,good,5,gas,automatic,4wd,sedan,150k-200k
cincinnati,27990,2015,toyota,tundra crewmax sr5 pickup,good,8,gas,other,4wd,pickup,50k-100k
orlando,36590,2020,toyota,sienna xle minivan 4d,good,6,gas,other,fwd,van,0-20k
others,36590,2019,gmc,sierra 1500 limited double,good,8,gas,other,4wd,pickup,0-20k
oklahoma city,23900,2018,chevrolet,camaro,good,5,gas,automatic,rwd,coupe,50k-100k
cincinnati,19581,2000,dodge,dakota,good,6,gas,automatic,rwd,pickup,150k-200k
others,19990,2019,nissan,rogue s sport utility 4d,good,5,other,other,fwd,hatchback,20k-50k
others,20835,2016,jeep,cherokee,good,5,gas,automatic,4wd,sedan,50k-100k
others,10999,2016,chevrolet,cruze,good,5,gas,automatic,4wd,sedan,20k-50k
chicago,19581,2007,others,grand prix,good,6,gas,automatic,4wd,sedan,150k-200k
cleveland,19798,2019,ford,escape,good,4,gas,automatic,4wd,SUV,0-20k
cincinnati,37929,2018,chevrolet,silverado 1500,excellent,5,gas,automatic,4wd,pickup,50k-100k
detroit metro,16995,2017,ford,fusion,good,5,gas,automatic,fwd,sedan,50k-100k
others,16995,2012,others,f-150,excellent,8,gas,manual,4wd,SUV,100k-150k
others,16950,2013,gmc,sierra 1500,good,8,gas,automatic,4wd,pickup,50k-100k
others,21518,2008,ford,Suzuki Grand Vitara,excellent,6,gas,automatic,4wd,SUV,100k-150k
raleigh / durham / CH,19700,2013,lexus,gx 460,good,5,gas,automatic,4wd,sedan,150k-200k
others,25900,2017,ram,1500,excellent,8,gas,automatic,rwd,pickup,50k-100k
"st louis, MO",19581,1987,dodge,d100,good,5,gas,automatic,4wd,pickup,50k-100k
"kansas city, MO",43995,2019,ram,1500 classic,good,5,gas,automatic,4wd,pickup,20k-50k
others,13800,2013,chevrolet,silverado 1500,excellent,6,gas,automatic,rwd,truck,100k-150k
others,40888,2020,jeep,gladiator,good,5,gas,automatic,4wd,sedan,0-20k
others,33590,2019,ford,Genesis G70 2.0T Advanced Sedan,good,5,gas,other,rwd,sedan,0-20k
inland empire,12000,1995,chevrolet,corvette,excellent,8,gas,automatic,rwd,coupe,50k-100k
others,26990,2016,others,qx60 3.5 sport utility,good,6,gas,other,fwd,SUV,20k-50k
others,9500,1956,others,special,good,8,gas,automatic,rwd,sedan,20k-50k
others,21518,1997,toyota,4runner sr5,good,4,gas,manual,rwd,sedan,200k-300k
others,39590,2018,bmw,4 series 430i convertible 2d,good,5,gas,other,rwd,convertible,0-20k
others,21518,2005,ford,f250 xlt,fair,8,gas,automatic,4wd,truck,150k-200k
others,12850,2017,hyundai,santa fe sport,excellent,4,gas,automatic,4wd,sedan,150k-200k
others,26500,2014,ford,Isuzu NPR HD,excellent,4,diesel,automatic,rwd,truck,100k-150k
others,10000,2000,ford,f350 lariat,good,8,diesel,automatic,4wd,sedan,200k-300k
others,12995,2014,subaru,legacy 2.5i limited,excellent,4,gas,automatic,4wd,sedan,100k-150k
chicago,31990,2019,subaru,crosstrek hybrid sport,good,5,gas,other,4wd,hatchback,0-20k
others,22500,1979,ford,U-Model Mack,excellent,6,diesel,manual,4wd,sedan,200k-300k
others,9995,2009,others,fx35,good,5,gas,automatic,4wd,SUV,200k-300k
others,34990,2010,chevrolet,corvette coupe 2d,good,8,gas,other,rwd,coupe,0-20k
